Mode,Bessel_omega_rad_s,Bessel_hat_omega,Det_hat_omega,SVD_hat_omega,SVD_Rel_Err,Det_Rel_Err
1,-0.003299500224185026,-9.998485527833411,-1.128009,-1.646371,8.35e-01,8.87e-01
2,-0.00329807183148877,-9.994157065117484,-1.128009,-1.646371,8.35e-01,8.87e-01
3,-0.0032937866907216244,-9.98117179006553,-1.128009,-1.646371,8.35e-01,8.87e-01
4,-0.003292358322922035,-9.976843402794046,-1.128009,-1.646371,8.35e-01,8.87e-01
5,-0.003290929961352372,-9.972515034401127,-1.128009,-1.646371,8.35e-01,8.87e-01
6,-0.0032895016060276094,-9.96818668493215,-1.128009,-1.646371,8.35e-01,8.87e-01
7,-0.0032880732569760146,-9.963858354472771,-1.128009,-1.646371,8.35e-01,8.87e-01
8,-0.003283788247395886,-9.95087347695723,-1.128009,-1.646371,8.35e-01,8.87e-01
9,-0.0032823599234401103,-9.946545222545788,-1.128009,-1.646371,8.34e-01,8.87e-01
10,-0.003280931605779143,-9.942216987209525,-1.128009,-1.646371,8.34e-01,8.87e-01
11,-0.003279503294468777,-9.937888771117507,-1.128009,-1.646371,8.34e-01,8.86e-01
12,-0.0032780749893808778,-9.933560573881447,-1.128009,-1.646371,8.34e-01,8.86e-01
13,-0.0032766466906598616,-9.929232395938975,-1.128009,-1.646371,8.34e-01,8.86e-01
14,-0.003272361832508569,-9.916247977298694,-1.128009,-1.646371,8.34e-01,8.86e-01
15,-0.0032709335591572957,-9.91191987623423,-1.128009,-1.646371,8.34e-01,8.86e-01
16,-0.0032695052922662995,-9.907591794746363,-1.128009,-1.646371,8.34e-01,8.86e-01
17,-0.0032680770315495554,-9.90326373196835,-1.128009,-1.646371,8.34e-01,8.86e-01
18,-0.003266648777319296,-9.898935688846352,-1.128009,-1.646371,8.34e-01,8.86e-01
19,-0.0032623640529522947,-9.885951675613015,-1.128009,-1.646371,8.33e-01,8.86e-01
20,-0.0032609358243303574,-9.881623710091992,-1.128009,-1.646371,8.33e-01,8.86e-01
21,-0.0032595076021032826,-9.877295763949341,-1.128009,-1.646371,8.33e-01,8.86e-01
