========================================================================================================================
                                 SWMHD VARIABLE-DEPTH BRANCH CLASSIFICATION REPORT
========================================================================================================================
Parameters: Omega=5.0e-05 rad/s, H0=500.0 m, g=9.81 m/s^2, B0=5.0e-04 T, rho0=1000.0 kg/m^3, C=0.0
Domain: r1=5.0e+05 m, r2=1.0e+06 m, N_col=64
------------------------------------------------------------------------------------------------------------------------
  m |   omega [s^-1] |  hat_omega |       Branch |   n | WKB Pred [s^-1] | Abs Error [s^-1] |  ODE L2 Residual
------------------------------------------------------------------------------------------------------------------------
  1 |   1.332430e-03 |    13.3243 |          MP+ |   1 |   4.593229e-04 |    8.731073e-04 |     3.735540e-15
  2 |   5.105181e-04 |     5.1052 |          MP+ |   1 |   4.864706e-04 |    2.404748e-05 |     4.148122e-14
  3 |   5.649036e-04 |     5.6490 |          MP+ |   1 |   5.290248e-04 |    3.587879e-05 |     7.985294e-15
  4 |   9.819773e-04 |     9.8198 |          MP+ |   1 |   5.836238e-04 |    3.983535e-04 |     1.294681e-14
  5 |   7.097703e-04 |     7.0977 |          MP+ |   1 |   6.472127e-04 |    6.255765e-05 |     1.151217e-14
  6 |   1.085419e-03 |    10.8542 |          MP+ |   1 |   7.173908e-04 |    3.680278e-04 |     6.853210e-15
  7 |   8.793200e-04 |     8.7932 |          MP+ |   1 |   9.207530e-04 |    4.143303e-05 |     4.397653e-15
  8 |   9.671028e-04 |     9.6710 |          MP+ |   1 |   1.004861e-03 |    3.775828e-05 |     3.820194e-15
  9 |   1.054865e-03 |    10.5487 |          MP+ |   1 |   1.088338e-03 |    3.347273e-05 |     4.066639e-15
 10 |   1.141796e-03 |    11.4180 |          MP+ |   1 |   1.171311e-03 |    2.951419e-05 |     5.553939e-15
 11 |   1.460800e-03 |    14.6080 |          MP+ |   1 |   1.253811e-03 |    2.069892e-04 |     5.356460e-15
 12 |   1.548006e-03 |    15.4801 |          MP+ |   1 |   1.335862e-03 |    2.121435e-04 |     6.946328e-15
 13 |   1.636537e-03 |    16.3654 |          MP+ |   1 |   1.417592e-03 |    2.189446e-04 |     2.840680e-15
 14 |   1.725387e-03 |    17.2539 |          MP+ |   1 |   1.499095e-03 |    2.262915e-04 |     1.881936e-15
 15 |   1.560178e-03 |    15.6018 |          MP+ |   1 |   1.580207e-03 |    2.002829e-05 |     8.511314e-16
 16 |   1.641641e-03 |    16.4164 |          MP+ |   1 |   1.661155e-03 |    1.951497e-05 |     1.202953e-15
 17 |   1.987868e-03 |    19.8787 |          MP+ |   1 |   1.741833e-03 |    2.460351e-04 |     1.442657e-15
 18 |   1.803457e-03 |    18.0346 |          MP+ |   1 |   1.822230e-03 |    1.877284e-05 |     1.789853e-15
 19 |   1.883946e-03 |    18.8395 |          MP+ |   1 |   1.902510e-03 |    1.856344e-05 |     5.561668e-16
 20 |   2.241716e-03 |    22.4172 |          MP+ |   1 |   1.982522e-03 |    2.591946e-04 |     1.396462e-15
 21 |   2.324933e-03 |    23.2493 |          MP+ |   1 |   2.062426e-03 |    2.625078e-04 |     2.949729e-16
 22 |   2.124175e-03 |    21.2417 |          MP+ |   1 |   2.142158e-03 |    1.798255e-05 |     1.155914e-15
