Branch_ID,Family,Radial_Mode,Max_Rel_Jump,Min_Overlap,Status
1,Kelvin,1,4.368974663810797e-06,0.999993793213221,VALID
2,Poincaré,2,4.35293394144816e-06,0.9999864088533517,VALID
3,Poincaré,3,4.4064706086958776e-06,0.9999819181184346,VALID
4,Poincaré,4,4.4202969529927826e-06,0.99997945895738,VALID
5,Poincaré,5,4.4240531807322216e-06,0.9999779951334788,VALID
6,Poincaré,6,4.424238393701749e-06,0.9999770505476396,VALID
7,Poincaré,7,4.381166276887574e-06,0.9999768490827796,VALID
8,Poincaré,8,3.940878569940777e-06,0.9999826993099642,VALID
9,Poincaré,9,3.487954570504173e-06,0.9999893990005564,VALID
10,Poincaré,10,3.158195655193069e-06,0.9999928371272543,VALID
11,Kelvin,1,5.099697833162566e-06,0.99997747869467,VALID
12,Poincaré,2,4.6681897856695916e-06,0.9999812056066617,VALID
13,Poincaré,3,4.5938585944672265e-06,0.9999787764444635,VALID
14,Poincaré,4,4.55504483177745e-06,0.9999770917862679,VALID
15,Poincaré,5,4.529797759721208e-06,0.9999760200374581,VALID
16,Poincaré,6,4.511489413242149e-06,0.9999753325147008,VALID
17,Poincaré,7,4.4408493534812965e-06,0.999975549816339,VALID
18,Poincaré,8,3.929896983570491e-06,0.9999827752333701,VALID
19,Poincaré,9,3.4693104274188813e-06,0.9999898181735365,VALID
20,Poincaré,10,3.1452182466572623e-06,0.9999931113487883,VALID
