branch_id,radial_mode_n,category,m_min,m_max,valid_points_count
1,157,Poincare-like,1.0,30.000000000000025,581
2,132,Poincare-like,1.0,30.000000000000025,581
3,105,Poincare-like,1.0,30.000000000000025,581
4,90,Poincare-like,1.0,30.000000000000025,581
5,63,Poincare-like,1.0,30.000000000000025,581
6,34,Poincare-like,1.0,30.000000000000025,581
7,9,Poincare-like,1.0,30.000000000000025,581
8,20,Poincare-like,1.0,30.000000000000025,581
9,45,Poincare-like,1.0,30.000000000000025,581
10,66,Poincare-like,1.0,30.000000000000025,581
11,91,Poincare-like,1.0,30.000000000000025,581
12,116,Poincare-like,1.0,30.000000000000025,581
13,137,Poincare-like,1.0,30.000000000000025,581
14,164,Poincare-like,1.0,30.000000000000025,581
15,193,Poincare-like,1.0,30.000000000000025,581
16,186,Poincare-like,1.0,30.000000000000025,581
17,163,Poincare-like,1.0,30.000000000000025,581
18,132,Poincare-like,1.0,30.000000000000025,581
19,113,Poincare-like,1.0,30.000000000000025,581
20,90,Poincare-like,1.0,30.000000000000025,581
21,71,Poincare-like,1.0,30.000000000000025,581
22,38,Poincare-like,1.0,30.000000000000025,581
23,15,Poincare-like,1.0,30.000000000000025,581
24,18,Poincare-like,1.0,30.000000000000025,581
25,43,Poincare-like,1.0,30.000000000000025,581
26,58,Poincare-like,1.0,30.000000000000025,581
27,83,Poincare-like,1.0,30.000000000000025,581
28,100,Poincare-like,1.0,30.000000000000025,581
29,135,Poincare-like,1.0,30.000000000000025,581
30,158,Poincare-like,1.0,30.000000000000025,581
31,189,Poincare-like,1.0,30.000000000000025,581
32,182,Poincare-like,1.0,30.000000000000025,581
33,167,Poincare-like,1.0,30.000000000000025,581
34,138,Poincare-like,1.0,30.000000000000025,581
35,123,Poincare-like,1.0,30.000000000000025,581
36,90,Poincare-like,1.0,30.000000000000025,581
37,67,Poincare-like,1.0,30.000000000000025,581
38,40,Poincare-like,1.0,30.000000000000025,581
39,13,Poincare-like,1.0,30.000000000000025,47
40,10,Poincare-like,1.0,30.000000000000025,581
41,31,Poincare-like,1.0,30.000000000000025,581
42,58,Poincare-like,1.0,30.000000000000025,581
43,91,Poincare-like,1.0,30.000000000000025,581
44,108,Poincare-like,1.0,30.000000000000025,581
45,131,Poincare-like,1.0,30.000000000000025,581
46,158,Poincare-like,1.0,30.000000000000025,581
47,185,Poincare-like,1.0,30.000000000000025,36
48,188,Poincare-like,1.0,30.000000000000025,581
49,163,Poincare-like,1.0,30.000000000000025,6
50,140,Poincare-like,1.0,30.000000000000025,581
51,109,Poincare-like,1.0,30.000000000000025,581
52,90,Poincare-like,1.0,30.000000000000025,581
53,71,Poincare-like,1.0,30.000000000000025,581
54,46,Poincare-like,1.0,30.000000000000025,581
55,11,Poincare-like,1.0,30.000000000000025,581
56,14,Poincare-like,1.0,30.000000000000025,581
57,39,Poincare-like,1.0,30.000000000000025,581
58,60,Poincare-like,1.0,30.000000000000025,581
59,79,Poincare-like,1.0,30.000000000000025,581
60,106,Poincare-like,1.0,30.000000000000025,581
61,129,Poincare-like,1.0,30.000000000000025,581
62,168,Poincare-like,1.0,30.000000000000025,581
63,187,Poincare-like,1.0,30.000000000000025,581
64,192,Poincare-like,1.0,30.000000000000025,581
65,169,Poincare-like,1.0,30.000000000000025,581
66,140,Poincare-like,1.0,30.000000000000025,581
67,117,Poincare-like,1.0,30.000000000000025,581
68,84,Poincare-like,1.0,30.000000000000025,581
69,57,Poincare-like,1.0,30.000000000000025,581
70,34,Poincare-like,1.0,30.000000000000025,581
71,17,Poincare-like,1.0,30.000000000000025,581
72,10,Poincare-like,1.0,30.000000000000025,581
73,49,Poincare-like,1.0,30.000000000000025,581
74,62,Poincare-like,1.0,30.000000000000025,581
75,89,Poincare-like,1.0,30.000000000000025,581
76,112,Poincare-like,1.0,30.000000000000025,581
77,139,Poincare-like,1.0,30.000000000000025,581
78,152,Poincare-like,1.0,30.000000000000025,581
79,187,Poincare-like,1.0,30.000000000000025,581
80,180,Poincare-like,1.0,30.000000000000025,581
81,157,Poincare-like,1.0,30.000000000000025,581
82,134,Poincare-like,1.0,30.000000000000025,581
83,107,Poincare-like,1.0,30.000000000000025,581
84,84,Poincare-like,1.0,30.000000000000025,581
85,61,Poincare-like,1.0,30.000000000000025,581
86,34,Poincare-like,1.0,30.000000000000025,581
87,13,Poincare-like,1.0,30.000000000000025,581
88,14,Poincare-like,1.0,30.000000000000025,581
89,55,Poincare-like,1.0,30.000000000000025,581
90,68,Poincare-like,1.0,30.000000000000025,581
91,95,Poincare-like,1.0,30.000000000000025,581
92,116,Poincare-like,1.0,30.000000000000025,581
93,145,Poincare-like,1.0,30.000000000000025,581
94,170,Poincare-like,1.0,30.000000000000025,581
95,195,Poincare-like,1.0,30.000000000000025,581
96,174,Poincare-like,1.0,30.000000000000025,581
97,147,Poincare-like,1.0,30.000000000000025,581
98,124,Poincare-like,1.0,30.000000000000025,581
99,91,Poincare-like,1.0,30.000000000000025,581
100,70,Poincare-like,1.0,30.000000000000025,581
101,49,Poincare-like,1.0,30.000000000000025,581
102,26,Poincare-like,1.0,30.000000000000025,581
103,15,Poincare-like,1.0,30.000000000000025,19
104,28,Poincare-like,1.0,30.000000000000025,581
105,59,Poincare-like,1.0,30.000000000000025,581
