N,Mode,omega_rad_s,hat_omega,Rel_Freq_Err,sigma_rel,Eigenfunction_Overlap
32,1,-0.0008952571922721735,-8.952571922721734,3.7072343885409606e-10,8.020041486392945e-13,0.9999999999706759
48,1,-0.0008952571921227534,-8.952571921227532,2.03821467992526e-10,2.7487671251741397e-13,0.9999999999992453
64,1,-0.0008952571920123461,-8.95257192012346,8.049686857682035e-11,1.063168915414165e-13,0.9999999999999081
80,1,-0.0008952571919621952,-8.95257191962195,2.4478369577649914e-11,4.660320823176954e-14,0.9999999999999845
96,1,-0.0008952571919402807,-8.952571919402807,0.0,2.3020316666254697e-14,1.0
32,2,-0.00046606098515801655,-4.6606098515801655,2.292558286429322e-09,2.0248292772870542e-13,0.9999999999999309
48,2,-0.0004660609844456473,-4.660609844456473,7.640689657847303e-10,7.437961068805722e-14,0.9999999999999982
64,2,-0.00046606098420136566,-4.660609842013656,2.3992801850070783e-10,2.7378326008482707e-14,0.9999999999999999
80,2,-0.00046606098412103257,-4.660609841210325,6.756196480602435e-11,1.1678880402217548e-14,1.0
96,2,-0.0004660609840895446,-4.660609840895446,0.0,5.699745480739612e-15,1.0000000000000002
32,3,-0.00010158326514311639,-1.0158326514311637,1.7759537046743658e-09,4.564465587302101e-16,0.9999999999999996
48,3,-0.00010158326508524505,-1.0158326508524504,1.2062600901871892e-09,7.237007311363002e-17,1.0
64,3,-0.00010158326507923136,-1.0158326507923134,1.1470604771187933e-09,1.9451484041526926e-17,1.0
80,3,-0.00010158326496835003,-1.0158326496835002,5.552902146276282e-11,3.4375646036706485e-18,1.0
96,3,-0.00010158326496270921,-1.015832649627092,0.0,2.8730922642599717e-18,1.0
