m,root_index,real_omega,imag_omega,real_omega_over_Omega,imag_omega_over_Omega,abs_residual,normalized_residual,root_class
1,0,-8.903720515394886658e-04,0.000000000000000000e+00,-1.780744103078977147e+01,0.000000000000000000e+00,4.079962132912704103e-41,1.837451587547300310e-25,real_negative
1,1,8.900556181865946354e-04,0.000000000000000000e+00,1.780111236373189243e+01,0.000000000000000000e+00,3.097198227069196275e-40,1.394854073134457864e-24,real_positive
1,2,-9.122087332286953076e-05,0.000000000000000000e+00,-1.824417466457390447e+00,0.000000000000000000e+00,5.029074078509475328e-46,2.264893614599379904e-30,real_negative
1,3,9.134392219380337268e-05,0.000000000000000000e+00,1.826878443876067459e+00,0.000000000000000000e+00,1.487340105872105033e-46,6.698384346578778271e-31,real_positive
1,4,1.582145983002531043e-07,2.803124037052185353e-05,3.164291966005062032e-03,5.606248074104370760e-01,4.641991390566632942e-48,2.090567069681293868e-32,complex_unstable
1,5,1.582145983002531043e-07,-2.803124037052185353e-05,3.164291966005062032e-03,-5.606248074104370760e-01,4.641991390566632942e-48,2.090567069681293868e-32,complex_damped
1,6,-8.779286730042293934e-06,0.000000000000000000e+00,-1.755857346008458664e-01,0.000000000000000000e+00,5.986992950606518247e-49,2.696301922142130194e-33,real_negative
1,7,8.656242015401651024e-06,0.000000000000000000e+00,1.731248403080330178e-01,0.000000000000000000e+00,1.710569414459005214e-49,7.703719777548943412e-34,real_positive
2,0,-9.050939926344832255e-04,0.000000000000000000e+00,-1.810187985268966315e+01,0.000000000000000000e+00,1.435054669237524927e-40,6.462911647174465112e-25,real_negative
2,1,9.044814104627021869e-04,0.000000000000000000e+00,1.808962820925404458e+01,0.000000000000000000e+00,1.907282357781495049e-40,8.589636080793871114e-25,real_positive
2,2,-9.116369274312429252e-05,0.000000000000000000e+00,-1.823273854862485832e+00,0.000000000000000000e+00,1.293618119684622693e-45,5.825938081771363933e-30,real_negative
2,3,9.140183951078531218e-05,0.000000000000000000e+00,1.828036790215706198e+00,0.000000000000000000e+00,1.286604785085340771e-45,5.794352830683411863e-30,real_positive
2,4,3.062760252658862829e-07,2.803730474251674653e-05,6.125520505317725781e-03,5.607460948503348863e-01,1.662509150949151225e-47,7.487275592714637142e-32,complex_unstable
