m,most_unstable_gamma_hat,most_unstable_gamma,stability
1,NaN,NaN,none found
2,NaN,NaN,none found
3,NaN,NaN,none found
4,NaN,NaN,none found
5,NaN,NaN,none found
6,NaN,NaN,none found
7,NaN,NaN,none found
8,NaN,NaN,none found
9,NaN,NaN,none found
10,NaN,NaN,none found
11,NaN,NaN,none found
12,NaN,NaN,none found
13,NaN,NaN,none found
14,NaN,NaN,none found
15,NaN,NaN,none found
16,NaN,NaN,none found
17,NaN,NaN,none found
18,NaN,NaN,none found
19,NaN,NaN,none found
20,NaN,NaN,none found
21,NaN,NaN,none found
22,NaN,NaN,none found
23,NaN,NaN,none found
24,NaN,NaN,none found
25,NaN,NaN,none found
26,NaN,NaN,none found
27,NaN,NaN,none found
28,NaN,NaN,none found
29,NaN,NaN,none found
30,NaN,NaN,none found
